time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,a79839a8a4074363a091b7cd40573c24,AMD,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,758e7e52b9774d5599c6e00c1736907b,GOOGL,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,34208ca99190493989b1667c59f3eb01,NVDA,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,a9c9dc7e91894bcba353d06e872301a5,AAPL,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,744f337ae6a24f32b612f3b8c3887d34,TSLA,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,cb98d47e04a44c0b84b2ac3296e4e472,AMZN,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,dbc0ba5846134323989c0cc059d938a0,MSFT,sell,market,fill,515.0,25.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,4909b5d1153f41c6b76e6c539028c2e5,META,sell,market,fill,767.1199951171875,17.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,a79839a8a4074363a091b7cd40573c24,AMD,sell,market,fill,173.10000610351562,77.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,758e7e52b9774d5599c6e00c1736907b,GOOGL,sell,market,fill,203.02999877929688,71.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,34208ca99190493989b1667c59f3eb01,NVDA,sell,market,fill,182.42999267578125,77.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,a9c9dc7e91894bcba353d06e872301a5,AAPL,sell,market,fill,231.27999877929688,65.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,744f337ae6a24f32b612f3b8c3887d34,TSLA,sell,market,fill,335.7900085449219,40.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,cb98d47e04a44c0b84b2ac3296e4e472,AMZN,sell,market,fill,230.08999633789062,56.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_29,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_30,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_31,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_32,GOOGL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_29,AAPL,buy,market,fill,229.97999572753906,58.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_30,AMZN,buy,market,fill,227.1199951171875,59.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_31,TSLA,buy,market,fill,329.2200012207031,40.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_32,GOOGL,buy,market,fill,200.72999572753906,67.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,StockPulse Momentum+Catalyst,,634394246f61420e93c281b7151d6ccb,AAPL,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
