time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-09-11 09:30:00-04:00,sell,fill,18.0,META,stock,,0.0,,754.6500244140625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-12 09:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-12 09:30:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-12 09:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-12 09:30:00-04:00,buy,fill,57.0,GOOGL,stock,,0.0,,240.3699951171875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-12 09:30:00-04:00,buy,fill,39.0,TSLA,stock,,0.0,,370.94000244140625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-12 09:30:00-04:00,buy,fill,59.0,AMZN,stock,,0.0,,230.35000610351562,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-15 09:30:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-15 09:30:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-15 09:30:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-15 09:30:00-04:00,buy,fill,59.0,AAPL,stock,,0.0,,237.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-15 09:30:00-04:00,buy,fill,18.0,META,stock,,0.0,,757.469970703125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-15 09:30:00-04:00,buy,fill,76.0,NVDA,stock,,0.0,,175.6699981689453,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-16 09:30:00-04:00,buy,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-16 09:30:00-04:00,buy,fill,26.0,MSFT,stock,,0.0,,516.8800048828125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-18 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-18 09:30:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-18 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-18 09:30:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-18 09:30:00-04:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-18 09:30:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
